iter	Logloss
0	0.6668737794
1	0.6426547932
2	0.622053403
3	0.6039073001
4	0.5896140331
5	0.5761644878
6	0.5650143284
7	0.5560380099
8	0.5485464558
9	0.5416961298
10	0.5360776747
11	0.5310079859
12	0.5260220548
13	0.5224710405
14	0.5185599893
15	0.5154753538
16	0.512721894
17	0.5099451832
18	0.5080487354
19	0.5062438812
20	0.5045911801
21	0.5031235939
22	0.5018837736
23	0.5001037519
24	0.4991340818
25	0.4980753753
26	0.4970441839
27	0.4961740023
28	0.4952693614
29	0.4945642269
30	0.4938382151
31	0.4933358275
32	0.4928903152
33	0.4922640099
34	0.4919174553
35	0.4914711731
36	0.4910962179
37	0.4905833479
38	0.4901881116
39	0.4898692592
40	0.48956928
41	0.4891896727
42	0.48893607
43	0.4886323739
44	0.4883319817
45	0.488097277
46	0.4877552854
47	0.4875532497
48	0.4873544141
49	0.4871514735
50	0.4869906192
51	0.4867047666
52	0.4864757314
53	0.4861965819
54	0.4860054469
55	0.4858214765
56	0.4855910899
57	0.4854857335
58	0.4852958168
59	0.4851744736
60	0.4849523281
61	0.4847532137
62	0.4845199004
63	0.4843301213
64	0.4841705681
65	0.4840121455
66	0.4838180555
67	0.4836490666
68	0.4835052237
69	0.4833907332
70	0.4832812392
71	0.4831812717
72	0.4830311129
73	0.4829543823
74	0.4827812154
75	0.4825714545
76	0.4824421884
77	0.4822571549
78	0.482077603
79	0.4819537914
80	0.481848737
81	0.4817630838
82	0.4816373963
83	0.4814766342
84	0.4813459796
85	0.4812223521
86	0.4810171673
87	0.480882908
88	0.48073499
89	0.4806541804
90	0.4804482905
91	0.4803228672
92	0.4801456424
93	0.4799709482
94	0.4798320111
95	0.4796149102
96	0.4794061137
97	0.4792351213
98	0.479088793
99	0.4789698674
100	0.478830857
101	0.4786742647
102	0.4785548345
103	0.4784360018
104	0.4782670077
105	0.4781067557
106	0.4780078356
107	0.4779185504
108	0.4777472216
109	0.4775524998
110	0.4774028232
111	0.4772455646
112	0.4771248768
113	0.4769580678
114	0.4768166515
115	0.4766375767
116	0.4764211721
117	0.4761878408
118	0.4760082043
119	0.4759268068
