iter	Passed	Remaining
0	17	2136
1	35	2091
2	52	2046
3	69	2010
4	86	1978
5	102	1946
6	118	1914
7	134	1889
8	151	1866
9	168	1849
10	186	1844
11	204	1838
12	221	1821
13	243	1845
14	261	1830
15	279	1814
16	297	1799
17	313	1777
18	331	1762
19	347	1739
20	364	1717
21	380	1696
22	396	1673
23	413	1653
24	429	1631
25	446	1613
26	462	1594
27	481	1580
28	498	1565
29	516	1549
30	532	1529
31	549	1512
32	566	1493
33	585	1481
34	602	1464
35	619	1445
36	636	1426
37	652	1408
38	670	1392
39	687	1374
40	705	1359
41	722	1342
42	739	1324
43	756	1305
44	773	1289
45	790	1271
46	807	1253
47	825	1237
48	842	1220
49	858	1202
50	876	1185
51	893	1168
52	913	1154
53	930	1137
54	947	1119
55	965	1103
56	982	1085
57	1000	1069
58	1017	1051
59	1035	1035
60	1052	1017
61	1069	1000
62	1087	984
63	1105	967
64	1124	951
65	1142	934
66	1159	917
67	1178	901
68	1196	884
69	1214	867
70	1232	850
71	1250	833
72	1267	816
73	1286	799
74	1303	781
75	1319	764
76	1337	747
77	1354	729
78	1372	712
79	1388	694
80	1406	677
81	1423	659
82	1439	641
83	1455	623
84	1472	606
85	1488	588
86	1505	571
87	1522	553
88	1539	536
89	1556	518
90	1573	501
91	1589	483
92	1606	466
93	1622	448
94	1639	431
95	1655	413
96	1673	396
97	1690	379
98	1707	362
99	1725	345
100	1742	327
101	1760	310
102	1776	293
103	1793	275
104	1809	258
105	1826	241
106	1843	223
107	1860	206
108	1877	189
109	1894	172
110	1911	155
111	1928	137
112	1945	120
113	1962	103
114	1980	86
115	1997	68
116	2014	51
117	2031	34
118	2048	17
119	2064	0
