value,label
Abilene Chr,abilene chr
Air Force,air force
Akron,akron
Alabama,alabama
Alabama A&M,alabama a&m
Alabama St,alabama st
Alcorn St,alcorn st
American Univ,american univ
Appalachian St,appalachian st
Arizona,arizona
Arizona St,arizona st
Ark Little Rock,ark little rock
Ark Pine Bluff,ark pine bluff
Arkansas,arkansas
Arkansas St,arkansas st
Army,army
Auburn,auburn
Austin Peay,austin peay
Ball St,ball st
Baylor,baylor
Bellarmine,bellarmine
Belmont,belmont
Bethune-Cookman,bethune-cookman
Binghamton,binghamton
Boise St,boise st
Boston College,boston college
Boston Univ,boston univ
Bowling Green,bowling green
Bradley,bradley
Brown,brown
Bryant,bryant
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
BYU,byu
C Michigan,c michigan
Cal Baptist,cal baptist
Cal Poly,cal poly
California,california
Campbell,campbell
Canisius,canisius
Cent Arkansas,cent arkansas
Central Conn,central conn
Charleston So,charleston so
Charlotte,charlotte
Chattanooga,chattanooga
Chicago St,chicago st
Cincinnati,cincinnati
Citadel,citadel
Clemson,clemson
Cleveland St,cleveland st
Coastal Car,coastal car
Col Charleston,col charleston
Colgate,colgate
Colorado,colorado
Colorado St,colorado st
Columbia,columbia
Connecticut,connecticut
Coppin St,coppin st
Cornell,cornell
Creighton,creighton
CS Bakersfield,cs bakersfield
CS Fullerton,cs fullerton
CS Northridge,cs northridge
CS Sacramento,cs sacramento
Dartmouth,dartmouth
Davidson,davidson
Dayton,dayton
Delaware,delaware
Delaware St,delaware st
Denver,denver
DePaul,depaul
Detroit,detroit
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
E Illinois,e illinois
E Kentucky,e kentucky
E Michigan,e michigan
E Washington,e washington
East Carolina,east carolina
East Texas A&M,east texas a&m
Elon,elon
ETSU,etsu
Evansville,evansville
F Dickinson,f dickinson
Fairfield,fairfield
FGCU,fgcu
FL Atlantic,fl atlantic
Florida,florida
Florida A&M,florida a&m
Florida Intl,florida intl
Florida St,florida st
Fordham,fordham
Fresno St,fresno st
Furman,furman
G Washington,g washington
Ga Southern,ga southern
Gardner Webb,gardner webb
George Mason,george mason
Georgetown,georgetown
Georgia,georgia
Georgia St,georgia st
Georgia Tech,georgia tech
Gonzaga,gonzaga
Grambling,grambling
Grand Canyon,grand canyon
Hampton,hampton
Harvard,harvard
Hawaii,hawaii
High Point,high point
Hofstra,hofstra
Holy Cross,holy cross
Houston,houston
Houston Chr,houston chr
Howard,howard
Idaho,idaho
Idaho St,idaho st
IL Chicago,il chicago
Illinois,illinois
Illinois St,illinois st
Incarnate Word,incarnate word
Indiana,indiana
